model,perturbation,level,mean_accuracy,std_accuracy
topk,edge_drop,0.26,0.7434210526315789,0.049843939275988965
topk,edge_drop,0.28,0.7052631578947367,0.05170232290628553
topk,edge_drop,0.3,0.7092105263157895,0.044406676396542645
sag,edge_drop,0.0,0.7368421052631577,1.1102230246251565e-16
sag,edge_drop,0.02,0.7407894736842106,0.048719759425193736
sag,edge_drop,0.04,0.7013157894736842,0.05148420406977329
sag,edge_drop,0.06,0.6065789473684211,0.05161854012087638
sag,edge_drop,0.08,0.5539473684210525,0.065776314473421
sag,edge_drop,0.1,0.525,0.07511533145364256
sag,edge_drop,0.12,0.4697368421052631,0.063526882655649
sag,edge_drop,0.14,0.43157894736842095,0.05418752705782631
sag,edge_drop,0.16,0.43684210526315786,0.050207326390365556
sag,edge_drop,0.18,0.39999999999999997,0.035889951834173296
sag,edge_drop,0.2,0.3973684210526315,0.04152561536331447
sag,edge_drop,0.22,0.4,0.03956130625887608
sag,edge_drop,0.24,0.3763157894736841,0.03636914463443488
sag,edge_drop,0.26,0.3894736842105263,0.049652532273982114
sag,edge_drop,0.28,0.37368421052631573,0.034911839898477896
sag,edge_drop,0.3,0.3618421052631579,0.04150476393575659
global,edge_drop,0.0,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.02,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.04,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.06,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.08,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.1,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.12,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.14,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.16,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.18,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.2,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.22,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.24,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.26,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.28,0.6578947368421055,2.220446049250313e-16
global,edge_drop,0.3,0.6578947368421055,2.220446049250313e-16
dmon,feat_noise,0.0,0.8421052631578945,2.220446049250313e-16
dmon,feat_noise,0.03333333333333333,0.7986842105263158,0.025343895110866068
dmon,feat_noise,0.06666666666666667,0.7723684210526316,0.04502615429544386
dmon,feat_noise,0.1,0.7828947368421052,0.047714379906496684
dmon,feat_noise,0.13333333333333333,0.75,0.033803243628066144
dmon,feat_noise,0.16666666666666666,0.7263157894736841,0.05729352909757169
dmon,feat_noise,0.2,0.7105263157894737,0.03431159160632972
dmon,feat_noise,0.23333333333333334,0.706578947368421,0.06825638078601545
dmon,feat_noise,0.26666666666666666,0.6539473684210526,0.058415718106376614
dmon,feat_noise,0.3,0.6394736842105264,0.07066169253735553
dmon,feat_noise,0.3333333333333333,0.6486842105263158,0.07409425381737413
dmon,feat_noise,0.36666666666666664,0.6223684210526316,0.07729633233012903
dmon,feat_noise,0.4,0.606578947368421,0.08667248187039188
dmon,feat_noise,0.43333333333333335,0.6552631578947369,0.07802087937038733
dmon,feat_noise,0.4666666666666667,0.6526315789473685,0.0796460313180082
dmon,feat_noise,0.5,0.631578947368421,0.09524716353080977
ecpool,feat_noise,0.0,0.7894736842105262,1.1102230246251565e-16
ecpool,feat_noise,0.03333333333333333,0.7842105263157894,0.017848236797698085
ecpool,feat_noise,0.06666666666666667,0.7763157894736842,0.02822054024937792
ecpool,feat_noise,0.1,0.7644736842105263,0.034787642280006026
ecpool,feat_noise,0.13333333333333333,0.6921052631578948,0.05526315789473684
ecpool,feat_noise,0.16666666666666666,0.6289473684210526,0.06957528456001204
ecpool,feat_noise,0.2,0.5657894736842106,0.07278587729441753
ecpool,feat_noise,0.23333333333333334,0.5105263157894737,0.07273828926886976
ecpool,feat_noise,0.26666666666666666,0.4894736842105263,0.06831976308287986
ecpool,feat_noise,0.3,0.488157894736842,0.052943156680870296
ecpool,feat_noise,0.3333333333333333,0.45394736842105265,0.06545969980964607
